smear,mass,thres,Z
0.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000083e-02,1.472887702641481500e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.999999999999998779e-02,1.499428110979910578e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.199999999999999956e-01,1.519825729121806246e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.599999999999999756e-01,1.534870416260498915e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.999999999999999833e-01,1.564531587970394266e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.399999999999999634e-01,1.639651645785705769e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.799999999999999711e-01,1.700447118272346625e+00
0.000000000000000000e+00,2.000000000000000111e-01,3.199999999999999512e-01,1.741254584798108684e+00
0.000000000000000000e+00,2.000000000000000111e-01,3.599999999999999312e-01,1.769870003994117091e+00
0.000000000000000000e+00,2.000000000000000111e-01,3.999999999999999112e-01,1.788141364614691309e+00
0.000000000000000000e+00,2.000000000000000111e-01,4.399999999999998912e-01,1.802560776441586077e+00
0.000000000000000000e+00,2.000000000000000111e-01,4.799999999999999267e-01,1.805230652458242657e+00
0.000000000000000000e+00,2.000000000000000111e-01,5.199999999999999067e-01,1.811531785746229195e+00
0.000000000000000000e+00,2.000000000000000111e-01,5.599999999999999423e-01,1.811995117748817830e+00
0.000000000000000000e+00,2.000000000000000111e-01,5.999999999999999778e-01,1.799181601282708431e+00
0.000000000000000000e+00,2.000000000000000111e-01,6.399999999999999023e-01,1.753176381443290133e+00
0.000000000000000000e+00,2.000000000000000111e-01,6.799999999999999378e-01,1.665711481017092987e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.199999999999999734e-01,1.516503227881759397e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.599999999999998979e-01,1.238326770916029940e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.999999999999999334e-01,8.256754226515534700e-01
0.000000000000000000e+00,2.000000000000000111e-01,8.399999999999998579e-01,4.101364101494823222e-01
0.000000000000000000e+00,2.000000000000000111e-01,8.799999999999998934e-01,1.592273828344211439e-01
0.000000000000000000e+00,2.000000000000000111e-01,9.199999999999999289e-01,5.028002950699320128e-02
0.000000000000000000e+00,2.000000000000000111e-01,9.599999999999999645e-01,3.005216820924380347e-02
1.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000083e-02,1.438107372646288296e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.999999999999998779e-02,1.461554568622089878e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.199999999999999956e-01,1.481337177159382623e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.599999999999999756e-01,1.492739851914493654e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.999999999999999833e-01,1.522933862879575440e+00
1.000000000000000000e+00,2.000000000000000111e-01,2.399999999999999634e-01,1.597188886092891114e+00
1.000000000000000000e+00,2.000000000000000111e-01,2.799999999999999711e-01,1.656841972278685127e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.199999999999999512e-01,1.699223854967388370e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.599999999999999312e-01,1.725101714943644726e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.999999999999999112e-01,1.740756132472861983e+00
1.000000000000000000e+00,2.000000000000000111e-01,4.399999999999998912e-01,1.760681810863840902e+00
1.000000000000000000e+00,2.000000000000000111e-01,4.799999999999999267e-01,1.772536353052539759e+00
1.000000000000000000e+00,2.000000000000000111e-01,5.199999999999999067e-01,1.793705901095318245e+00
