smear,mass,thres,Z
0.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000083e-02,1.515915656039558801e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.999999999999998779e-02,1.546113600276346700e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.199999999999999956e-01,1.564529442816335436e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.599999999999999756e-01,1.580206542584875473e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.999999999999999833e-01,1.611417079901145799e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.399999999999999634e-01,1.679005023370047978e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.799999999999999711e-01,1.745673351763761705e+00
0.000000000000000000e+00,2.000000000000000111e-01,3.199999999999999512e-01,1.801764508595294245e+00
0.000000000000000000e+00,2.000000000000000111e-01,3.599999999999999312e-01,1.817262363442760487e+00
0.000000000000000000e+00,2.000000000000000111e-01,3.999999999999999112e-01,1.847318565790887934e+00
0.000000000000000000e+00,2.000000000000000111e-01,4.399999999999998912e-01,1.854843993494933896e+00
0.000000000000000000e+00,2.000000000000000111e-01,4.799999999999999267e-01,1.864732475924370636e+00
0.000000000000000000e+00,2.000000000000000111e-01,5.199999999999999067e-01,1.878705133601432875e+00
0.000000000000000000e+00,2.000000000000000111e-01,5.599999999999999423e-01,1.895231930117225572e+00
0.000000000000000000e+00,2.000000000000000111e-01,5.999999999999999778e-01,1.867590396657879959e+00
0.000000000000000000e+00,2.000000000000000111e-01,6.399999999999999023e-01,1.860272649797126032e+00
0.000000000000000000e+00,2.000000000000000111e-01,6.799999999999999378e-01,1.806402212819198105e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.199999999999999734e-01,1.720171738752744872e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.599999999999998979e-01,1.636092203483350271e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.999999999999999334e-01,1.394861112152020688e+00
0.000000000000000000e+00,2.000000000000000111e-01,8.399999999999998579e-01,1.080816194064870173e+00
0.000000000000000000e+00,2.000000000000000111e-01,8.799999999999998934e-01,6.143530446549195778e-01
0.000000000000000000e+00,2.000000000000000111e-01,9.199999999999999289e-01,4.870913340511824619e-02
0.000000000000000000e+00,2.000000000000000111e-01,9.599999999999999645e-01,2.850099929800065796e-02
1.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000083e-02,1.460739005130727852e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.999999999999998779e-02,1.485883858662586654e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.199999999999999956e-01,1.505611496444627440e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.599999999999999756e-01,1.514571107120706417e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.999999999999999833e-01,1.536428309916204826e+00
1.000000000000000000e+00,2.000000000000000111e-01,2.399999999999999634e-01,1.608950585987182658e+00
1.000000000000000000e+00,2.000000000000000111e-01,2.799999999999999711e-01,1.669326439818892727e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.199999999999999512e-01,1.729661964056403267e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.599999999999999312e-01,1.751110881803070285e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.999999999999999112e-01,1.776851844634423694e+00
1.000000000000000000e+00,2.000000000000000111e-01,4.399999999999998912e-01,1.788126455252811997e+00
1.000000000000000000e+00,2.000000000000000111e-01,4.799999999999999267e-01,1.801815398936993828e+00
1.000000000000000000e+00,2.000000000000000111e-01,5.199999999999999067e-01,1.821413987604558082e+00
1.000000000000000000e+00,2.000000000000000111e-01,5.599999999999999423e-01,1.832124262936424719e+00
1.000000000000000000e+00,2.000000000000000111e-01,5.999999999999999778e-01,1.834098583686709194e+00
1.000000000000000000e+00,2.000000000000000111e-01,6.399999999999999023e-01,1.798682606977258791e+00
1.000000000000000000e+00,2.000000000000000111e-01,6.799999999999999378e-01,1.761604143894194507e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.199999999999999734e-01,1.703865257042679993e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.599999999999998979e-01,1.587621190236998769e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.999999999999999334e-01,1.390057114803693317e+00
1.000000000000000000e+00,2.000000000000000111e-01,8.399999999999998579e-01,1.124169806939589122e+00
1.000000000000000000e+00,2.000000000000000111e-01,8.799999999999998934e-01,7.980843988141425038e-01
1.000000000000000000e+00,2.000000000000000111e-01,9.199999999999999289e-01,2.266393277920128735e-01
1.000000000000000000e+00,2.000000000000000111e-01,9.599999999999999645e-01,2.882747181394119257e-02
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000083e-02,1.479162797816545583e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.999999999999998779e-02,1.505886422793083268e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e-01,1.516603127158581588e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.599999999999999756e-01,1.529945476554894546e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.999999999999999833e-01,1.552948389720388400e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.399999999999999634e-01,1.618274228490535593e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.799999999999999711e-01,1.683059145966075754e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.199999999999999512e-01,1.742425034078261215e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.599999999999999312e-01,1.754905373959850801e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.999999999999999112e-01,1.779506563394871455e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.399999999999998912e-01,1.805276560581943190e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.799999999999999267e-01,1.822664612502915116e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.199999999999999067e-01,1.838423882030858492e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.599999999999999423e-01,1.836578604341955412e+00
