# smearing, mass, nbins, fpr, tpr, overlapping
0.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+00 9.723000000000000531e-01 9.880999999999999783e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000000e+01 6.389000000000000234e-01 9.231000000000000316e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 1.500000000000000000e+01 4.509000000000000230e-01 7.805999999999999606e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+01 3.435000000000000275e-01 6.452999999999999847e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 3.500000000000000000e+01 1.990000000000000102e-01 4.032999999999999918e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000000e+01 1.751999999999999946e-01 3.561000000000000276e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+01 1.393000000000000071e-01 2.876000000000000223e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 6.000000000000000000e+01 1.137999999999999984e-01 2.454999999999999960e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 8.000000000000000000e+01 8.490000000000000324e-02 1.839999999999999969e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000000e+02 6.959999999999999520e-02 1.461000000000000076e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 1.200000000000000000e+02 5.790000000000000008e-02 1.202000000000000013e-01 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 1.500000000000000000e+02 4.549999999999999878e-02 9.660000000000000531e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+02 3.370000000000000079e-02 7.190000000000000557e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 2.500000000000000000e+02 2.829999999999999877e-02 5.899999999999999689e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 3.000000000000000000e+02 2.359999999999999945e-02 4.680000000000000132e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 3.500000000000000000e+02 2.069999999999999965e-02 4.009999999999999676e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000000e+02 1.839999999999999969e-02 3.420000000000000123e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 4.500000000000000000e+02 1.569999999999999868e-02 3.099999999999999978e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+02 1.460000000000000013e-02 2.680000000000000090e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 6.000000000000000000e+02 1.290000000000000001e-02 2.309999999999999901e-02 3.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 8.000000000000000000e+02 9.799999999999999684e-03 1.609999999999999973e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+00 9.688999999999999835e-01 9.746000000000000218e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000000e+01 6.619000000000000439e-01 8.355000000000000204e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 1.500000000000000000e+01 4.671000000000000152e-01 6.413999999999999702e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+01 3.564999999999999836e-01 5.098000000000000309e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 3.500000000000000000e+01 2.053999999999999992e-01 3.049999999999999933e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000000e+01 1.826000000000000123e-01 2.650000000000000133e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+01 1.436999999999999944e-01 2.159999999999999976e-01 3.000000000000000000e+00
