# smearing, mass, nbins, fpr, tpr
0.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+00 9.932999999999999607e-01 9.882999999999999563e-01
0.000000000000000000e+00 2.000000000000000111e-01 3.000000000000000000e+00 5.481000000000000316e-01 7.778000000000000469e-01
0.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000000e+00 4.092999999999999972e-01 5.853000000000000425e-01
0.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+00 3.143000000000000238e-01 6.452999999999999847e-01
0.000000000000000000e+00 2.000000000000000111e-01 7.000000000000000000e+00 2.164999999999999980e-01 4.299000000000000044e-01
0.000000000000000000e+00 2.000000000000000111e-01 8.000000000000000000e+00 1.844000000000000083e-01 3.924000000000000266e-01
0.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000000e+01 1.461999999999999966e-01 3.104000000000000092e-01
0.000000000000000000e+00 2.000000000000000111e-01 1.200000000000000000e+01 1.209999999999999964e-01 2.477999999999999925e-01
0.000000000000000000e+00 2.000000000000000111e-01 1.500000000000000000e+01 9.750000000000000333e-02 1.985000000000000098e-01
0.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+01 6.850000000000000533e-02 1.517000000000000015e-01
0.000000000000000000e+00 2.000000000000000111e-01 2.500000000000000000e+01 5.419999999999999818e-02 1.204999999999999960e-01
0.000000000000000000e+00 2.000000000000000111e-01 3.000000000000000000e+01 4.630000000000000088e-02 1.015000000000000069e-01
0.000000000000000000e+00 2.000000000000000111e-01 3.500000000000000000e+01 4.320000000000000229e-02 8.429999999999999993e-02
0.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000000e+01 3.559999999999999970e-02 7.270000000000000073e-02
0.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+01 2.939999999999999905e-02 5.709999999999999798e-02
0.000000000000000000e+00 2.000000000000000111e-01 6.000000000000000000e+01 2.340000000000000066e-02 4.760000000000000342e-02
0.000000000000000000e+00 2.000000000000000111e-01 8.000000000000000000e+01 1.750000000000000167e-02 3.540000000000000091e-02
0.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000000e+02 1.460000000000000013e-02 2.680000000000000090e-02
0.000000000000000000e+00 2.000000000000000111e-01 1.500000000000000000e+02 9.799999999999999684e-03 1.849999999999999908e-02
0.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+02 7.199999999999999803e-03 1.460000000000000013e-02
1.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+00 9.886000000000000343e-01 9.754000000000000448e-01
1.000000000000000000e+00 2.000000000000000111e-01 3.000000000000000000e+00 5.822000000000000508e-01 5.742000000000000437e-01
1.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000000e+00 4.238999999999999990e-01 5.917999999999999927e-01
1.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+00 3.285000000000000142e-01 4.642000000000000015e-01
1.000000000000000000e+00 2.000000000000000111e-01 7.000000000000000000e+00 2.295000000000000095e-01 3.361999999999999988e-01
1.000000000000000000e+00 2.000000000000000111e-01 8.000000000000000000e+00 1.960999999999999965e-01 2.853999999999999870e-01
1.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000000e+01 1.549000000000000099e-01 2.288000000000000034e-01
1.000000000000000000e+00 2.000000000000000111e-01 1.200000000000000000e+01 1.257999999999999952e-01 1.932000000000000106e-01
1.000000000000000000e+00 2.000000000000000111e-01 1.500000000000000000e+01 1.005000000000000060e-01 1.512000000000000011e-01
1.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+01 7.580000000000000626e-02 1.136999999999999955e-01
1.000000000000000000e+00 2.000000000000000111e-01 2.500000000000000000e+01 5.909999999999999976e-02 9.020000000000000240e-02
1.000000000000000000e+00 2.000000000000000111e-01 3.000000000000000000e+01 4.800000000000000100e-02 7.389999999999999347e-02
1.000000000000000000e+00 2.000000000000000111e-01 3.500000000000000000e+01 4.299999999999999656e-02 6.019999999999999657e-02
1.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000000e+01 3.729999999999999982e-02 5.550000000000000072e-02
1.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+01 2.850000000000000103e-02 4.309999999999999942e-02
1.000000000000000000e+00 2.000000000000000111e-01 6.000000000000000000e+01 2.299999999999999961e-02 3.509999999999999926e-02
1.000000000000000000e+00 2.000000000000000111e-01 8.000000000000000000e+01 1.770000000000000046e-02 2.589999999999999941e-02
1.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000000e+02 1.460000000000000013e-02 2.120000000000000009e-02
1.000000000000000000e+00 2.000000000000000111e-01 1.500000000000000000e+02 9.700000000000000289e-03 1.349999999999999985e-02
1.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+02 7.300000000000000065e-03 1.089999999999999997e-02
0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 9.932999999999999607e-01 1.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 5.481000000000000316e-01 9.876000000000000334e-01
0.000000000000000000e+00 1.000000000000000000e+00 4.000000000000000000e+00 4.092999999999999972e-01 5.483999999999999986e-01
